experiment_id	dataset	seed	config_path	output_root	method	controller_scope	controller_bundle	reference_budget
r23_e5_k19_keepk0_r5_imdb_seed42	imdb	42	configs/experiments/single_node_tuning_round23_dynamic/e5_anchor_k19_keepk0_all6_repeat5/r23_e5_k19_keepk0_r5_imdb_seed42.yaml	outputs/e5_anchor_k19_keepk0_all6_repeat5/imdb/seed42	round23_keepk0	all6		19
r23_e5_k19_keepk0_r5_imdb_seed123	imdb	123	configs/experiments/single_node_tuning_round23_dynamic/e5_anchor_k19_keepk0_all6_repeat5/r23_e5_k19_keepk0_r5_imdb_seed123.yaml	outputs/e5_anchor_k19_keepk0_all6_repeat5/imdb/seed123	round23_keepk0	all6		19
r23_e5_k19_keepk0_r5_imdb_seed456	imdb	456	configs/experiments/single_node_tuning_round23_dynamic/e5_anchor_k19_keepk0_all6_repeat5/r23_e5_k19_keepk0_r5_imdb_seed456.yaml	outputs/e5_anchor_k19_keepk0_all6_repeat5/imdb/seed456	round23_keepk0	all6		19
r23_e5_k19_keepk0_r5_imdb_seed789	imdb	789	configs/experiments/single_node_tuning_round23_dynamic/e5_anchor_k19_keepk0_all6_repeat5/r23_e5_k19_keepk0_r5_imdb_seed789.yaml	outputs/e5_anchor_k19_keepk0_all6_repeat5/imdb/seed789	round23_keepk0	all6		19
r23_e5_k19_keepk0_r5_imdb_seed1024	imdb	1024	configs/experiments/single_node_tuning_round23_dynamic/e5_anchor_k19_keepk0_all6_repeat5/r23_e5_k19_keepk0_r5_imdb_seed1024.yaml	outputs/e5_anchor_k19_keepk0_all6_repeat5/imdb/seed1024	round23_keepk0	all6		19
r23_e5_k19_keepk0_r5_openreview_seed42	openreview	42	configs/experiments/single_node_tuning_round23_dynamic/e5_anchor_k19_keepk0_all6_repeat5/r23_e5_k19_keepk0_r5_openreview_seed42.yaml	outputs/e5_anchor_k19_keepk0_all6_repeat5/openreview/seed42	round23_keepk0	all6		19
r23_e5_k19_keepk0_r5_openreview_seed123	openreview	123	configs/experiments/single_node_tuning_round23_dynamic/e5_anchor_k19_keepk0_all6_repeat5/r23_e5_k19_keepk0_r5_openreview_seed123.yaml	outputs/e5_anchor_k19_keepk0_all6_repeat5/openreview/seed123	round23_keepk0	all6		19
r23_e5_k19_keepk0_r5_openreview_seed456	openreview	456	configs/experiments/single_node_tuning_round23_dynamic/e5_anchor_k19_keepk0_all6_repeat5/r23_e5_k19_keepk0_r5_openreview_seed456.yaml	outputs/e5_anchor_k19_keepk0_all6_repeat5/openreview/seed456	round23_keepk0	all6		19
r23_e5_k19_keepk0_r5_openreview_seed789	openreview	789	configs/experiments/single_node_tuning_round23_dynamic/e5_anchor_k19_keepk0_all6_repeat5/r23_e5_k19_keepk0_r5_openreview_seed789.yaml	outputs/e5_anchor_k19_keepk0_all6_repeat5/openreview/seed789	round23_keepk0	all6		19
r23_e5_k19_keepk0_r5_openreview_seed1024	openreview	1024	configs/experiments/single_node_tuning_round23_dynamic/e5_anchor_k19_keepk0_all6_repeat5/r23_e5_k19_keepk0_r5_openreview_seed1024.yaml	outputs/e5_anchor_k19_keepk0_all6_repeat5/openreview/seed1024	round23_keepk0	all6		19
